TimeElapsed(s),GazeX,GazeY,PlayerScore
1.98326,-447.4354,1265.764,0
2.015561,-437.1282,1325.37,0
2.050515,-209.9753,1368.026,0
2.08092,-225.914,1450.85,0
2.113924,-515.2339,1592.215,0
2.148186,-563.4996,1642.379,0
2.180474,-313.2792,1661.182,0
2.216755,-313.3616,1686.909,0
2.249097,-546.4366,1743.709,0
2.283241,-929.7003,1840.081,0
2.314457,-215.7891,1663.79,0
2.351982,-81.28423,1424.32,0
2.384044,84.21718,1082.681,0
2.413673,148.5822,935.1321,0
2.448767,216.306,812.9065,0
2.482305,233.5398,824.1373,0
2.513452,585.3183,775.5945,0
2.548731,1307.546,677.5695,0
2.588558,1691.165,640.1614,0
2.615023,1703.539,623.9258,0
2.649391,1700.278,607.8209,0
2.684262,1694.081,594.4634,0
2.717357,1678.214,604.4326,0
2.751009,1634.441,583.98,0
2.784886,1616.66,563.7475,0
2.815646,1603.396,546.9917,0
2.848309,1594.163,517.2983,0
2.881873,1588.472,488.7542,0
2.915774,1576.629,486.6374,0
2.951111,1558.467,479.8204,0
2.981394,1541.545,457.2442,0
3.015148,1517.785,441.981,0
3.051076,1500.591,437.4161,0
3.083617,1500.591,437.4161,0
3.114024,1500.591,437.4161,0
3.150449,1500.591,437.4161,0
3.180084,277.5033,53.72012,0
3.216294,373.8368,217.6416,0
3.251079,358.9628,290.1238,0
3.280697,292.3375,389.7466,0
3.314156,285.2428,407.2171,0
3.351877,336.2249,352.3589,0
3.383697,316.3397,336.9016,0
3.41689,742.9481,289.1126,0
3.449297,980.0413,294.8143,0
3.483938,949.1332,310.7328,0
3.513902,947.0999,334.7576,0
3.547182,926.4048,353.5907,0
3.58353,919.6456,356.1909,0
3.616067,900.5063,358.0481,0
3.646707,899.4341,390.9894,0
3.680076,893.2841,407.0697,0
3.716113,857.2702,421.9864,0
3.748891,809.6533,443.1407,0
3.784652,783.835,457.6869,0
3.820786,751.3404,445.7703,0
3.847948,718.9105,447.533,0
3.884456,685.5316,468.1004,0
3.913971,679.3434,462.8612,0
3.950566,661.5901,443.4857,0
3.983819,635.4195,427.9301,0
4.013946,618.1046,415.5862,0
4.047789,603.4043,412.0266,0
4.085079,532.3986,420.9713,0
4.114331,495.1692,453.3883,0
4.150542,471.0645,468.2683,0
4.183296,331.6172,457.4942,0
4.21804,198.4732,458.8911,0
4.246807,200.3853,471.4149,0
4.281654,170.6135,452.9643,0
4.315817,161.4153,434.5477,0
4.353449,169.0331,424.4406,0
4.385805,207.9013,238.5818,0
4.41884,241.0525,58.03131,0
4.447887,241.0525,58.03131,0
4.480934,241.0525,58.03131,0
4.516957,2579.702,992.6745,0
4.550087,1625.39,821.3752,0
4.584371,865.8898,681.0697,0
4.614707,322.6627,562.9474,0
4.648679,248.0641,529.045,0
4.682577,261.8525,525.3381,0
4.714002,264.0401,517.8991,0
4.751974,263.6279,527.806,0
4.783289,262.4988,532.823,0
4.817498,271.2534,549.8675,0
4.850238,283.2065,558.8984,0
4.883046,277.9546,560.2116,0
4.916613,276.9619,561.9797,0
4.951401,296.6955,557.5388,0
4.981556,313.0602,546.1323,0
5.013831,581.2815,417.549,0
5.049119,897.7243,184.9039,0
5.08305,876.5814,193.7843,0
5.116354,855.3799,197.9746,0
5.149086,846.767,189.046,0
5.180847,835.0383,157.3077,0
5.214371,861.5573,171.3194,0
5.246768,867.9615,193.0892,0
5.283289,875.382,193.3978,0
5.316407,923.0894,228.1969,0
5.348871,942.4638,263.7215,0
5.383479,927.1622,283.7505,0
5.41643,896.7437,287.0038,0
5.448547,938.7257,283.0274,0
5.481593,1312.128,282.2784,0
5.515355,1628.946,308.9233,0
5.548986,1640.359,316.1614,0
5.582559,1621.81,314.9482,0
5.617205,1620.508,307.5774,0
5.647041,1626.468,294.7556,0
5.684881,1620.358,317.1078,0
5.713477,1614.321,318.4292,0
5.74892,1634.104,315.3082,0
5.783907,1633.579,304.2909,0
5.817333,1626.588,323.0546,0
5.8506,1624.874,355.2604,0
5.884399,1624.874,355.2604,0
5.914415,1624.874,355.2604,0
5.947728,1624.874,355.2604,0
5.980571,1182.361,-312.4331,0
6.01693,1395.84,143.9072,0
6.049466,1412.334,230.9422,0
6.083541,1386.078,194.5703,0
6.114083,1393.43,194.2435,0
6.148389,1389.932,183.4936,0
6.18109,1402.888,171.1824,0
6.213627,1401.705,174.1233,0
6.250817,1409.219,216.1187,0
6.28248,1588.519,235.4651,0
6.315703,1737.133,205.5844,0
6.348159,1750.276,240.5557,0
6.380148,1748.613,254.6173,0
6.417344,1734.362,249.6147,0
6.449348,1715.952,252.9464,0
6.48437,1719.256,255.1969,0
6.513429,1702.644,266.5117,0
6.550617,1587.285,253.735,0
6.584484,1483.168,231.1836,0
6.618384,1427.89,217.5005,0
6.647235,1427.89,217.5005,0
6.683868,1401.763,211.4904,0
6.715711,1222.159,227.2642,0
6.749279,694.1633,259.6588,0
6.782936,362.7735,277.8502,0
6.817343,386.9571,267.0807,0
6.851322,376.2773,252.1097,0
6.881989,361.8725,245.3037,0
6.915362,368.5937,261.146,0
6.946805,374.8488,256.5709,0
6.982018,382.8422,271.9012,0
7.0158,374.9323,278.6702,0
7.050275,367.1854,265.6177,0
7.085011,362.8165,272.5488,0
7.114406,353.6291,280.3928,0
7.14987,340.0653,269.6823,0
7.184421,347.0465,270.5881,0
7.214236,342.7935,261.9632,0
7.24848,327.5214,277.2185,0
7.283242,303.7234,268.1306,0
7.317838,308.976,296.1253,0
7.348193,308.8403,336.0465,0
7.383112,314.553,343.8942,0
7.418023,315.886,335.119,0
7.447471,305.6778,319.5582,0
7.483939,293.5786,302.6612,0
7.514489,275.3121,304.1068,0
7.54924,260.0721,317.7591,0
